,0,1,2,3,4,5,6,7,market
62,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
63,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
64,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
65,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
66,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
67,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
68,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
69,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
70,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
71,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
72,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
73,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
74,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
75,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
76,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
77,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
78,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
79,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
80,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
81,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
82,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
83,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
84,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
85,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
86,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
87,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
88,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
89,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
90,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
91,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
92,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
93,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
